Key,English
junkPlasticAshtray,"Junk Ashtray"
junkPlasticHanger,"Junk Hangers"
junkPlasticHairBrush,"Junk Hairbrush"
junkPlasticToothbrush,"Junk Toothbrush"
junkPlasticLighter,"Lighter"
junkDriftWood,"Junk Wood"
schematicPipePistol,"Pipe Pistol Crafting Guide"
schematicPipeShotgun,"Pipe Shotgun Crafting Guide"
schematicPipeMachineGun,"Pipe Machine Gun Crafting Guide"
schematicPipeRifle,"Pipe Rifle Crafting Guide"



PROGRESSION_________________________XML,PROGRESSION_________________________XML
bookGreatHeistTimedChargeDesc,"There's some doors and safes even the greatest Thieves can't pick. For those you just blow them up. They really thought that could stop a thief. Learn how to craft a Timed Charge to blow open the toughest doors and safes."

perkPackMuleRank1LongDesc,"Who has time to organize their stuff perfectly? Carry 9 more lbs without being encumbered."
perkPackMuleRank2LongDesc,"You know it's in there somewhere. Carry an additional 18 more lbs without being encumbered."
perkPackMuleRank3LongDesc,"You know exactly where everything is. Carry 30 additional lbs without being encumbered."
perkPackMuleRank4LongDesc,"You just passed inspection, private. Carry 42 more lbs without being encumbered."
perkPackMuleRank5LongDesc,"Now you are just showing off, you are either part mule or a strongman. Carry 54 more lbs without being encumbered."
perkSalvageOperationsRank1LongDesc,"Who knows what useful items can be found when tearing things apart? Deal 10% more damage, harvest 20% faster and gains 20% more resources with a wrench, ratchet or impact driver.\nUnlocks wrench crafting."
perkSalvageOperationsRank2LongDesc,"Most people call you scavver but at least it's an honest living. Deal 20% more damage, harvest 40% faster and gains 40% more resources with a wrench, ratchet or impact driver."
perkSalvageOperationsRank3LongDesc,"You seem to have a knack for salvaging more useful parts than the average scrapper. Deal 30% more damage, harvest 60% faster and gains 60% more resources with a wrench, ratchet or impact driver."
perkSalvageOperationsRank4LongDesc,"Your ability to gather salvaged parts is remarkable. Deal 40% more damage, harvest 80% faster and gains 80% more resources with a wrench, ratchet or impact driver."
skillCardioDesc,"Gain experience by walking and bonus xp for running. Improves your Run and Walk Speed and increases Stamina Regain while Running\n               [00eb3c]Current XP-{cvar($SkillCardioXP:0000)}                  Next Level-{cvar($SkillCardioTotal:0000)}[-]"
skillHaulingDesc,"Gain experience by walking, running or jumping while Overburdened. Improves your Max Carry Weight by +1 per level\n               [00eb3c]Current XP-{cvar($SkillHaulingXP:0000)}                  Next Level-{cvar($SkillHaulingTotal:0000)}[-]"
skillLootingDesc,"Gain experience by looting un looted containers. Improves your looting speed and increases your loot stage\n[00eb3c]Current XP-{cvar($SkillLootingXP:0000)}                  Next Level-{cvar($SkillLootingTotal:0000)}[-]"
perkArtOfMiningLanternDesc,"Learn how to craft hat and helmets light mods"
skillParkourDesc,"Gain experience by jumping and landing. Improves your Jump Height and decrease Stamina used to Jump\n            [00eb3c] Current XP-{cvar($SkillParkourXP:0000)}             Next Level-{cvar($SkillParkourTotal:0000)}[-]"
skillActionDesc,"Improve these skills by using or killing with the given skill item. You can also purchase these points to improve"
craftingSkillsDesc,"Improve these skills by crafting the stated item"
professionsDesc,"Your profession before the event occurred. Use your starting Knowledge Point to purchase."
hobbiesDesc,"The hobbies you used to love doing."
traitsDesc,"Your physical traits."
schematicsDesc,"You can track all unlockable schematics here"
skillMiningDesc,"Gain experience by breaking blocks with Pickaxes and Shovels to improve your use of them\n            [00eb3c] Current XP-{cvar($SkillMiningXP:000)}             Next Level-{cvar($SkillMiningTotal:000)}[-]"
skillAxeDesc,"Gain experience by breaking blocks with Axes to improve your use of them\n            [00eb3c] Current XP-{cvar($SkillLoggingXP:000)}             Next Level-{cvar($SkillLoggingTotal:000)}[-]"
skillChainsawDesc,"Gain experience by breaking blocks with Chainsaw to improve your dismemberment chance with them\n            [00eb3c] Current XP-{cvar($SkillChainsawXP:000)}             Next Level-{cvar($SkillChainsawTotal:000)}[-]"
skillAugerDesc,"Gain experience by breaking blocks with Augers to improve your dismemberment chance with them\n            [00eb3c] Current XP-{cvar($SkillAugerXP:000)}             Next Level-{cvar($SkillAugerTotal:000)}[-]"
skillBrawlerDesc,"Gain experience by hitting enemies and receive bonus xp for the killing blow while using Knuckles Weapons to improve your use of them\n                 [00eb3c] Current XP-{cvar($SkillBrawlerTotal:000)}                 Next Level-{cvar($Jz_BrawlerTotal:000)}[-]"
lvlskillBluntWeaponsDesc,"Gain experience by hitting enemies and receive bonus xp for the killing blow while wielding Blunt Weapons to improve your use of them\n                 [00eb3c] Current XP-{cvar($SkillBluntXP:000)}                 Next Level-{cvar($Jz_BluntTotal:000)}[-]"
skillSledgeDesc,"Gain experience by hitting enemies and receive bonus xp for the killing blow while wielding Sledge Hammer to improve your use of them\n                 [00eb3c] Current XP-{cvar($SkillSledgehammersXP:000)}                 Next Level-{cvar($Jz_SledgeTotal:000)}[-]"
skillBladeDesc,"Gain experience by hitting enemies and receive bonus xp for the killing blow while wielding Bladed Weapons to improve your use of them\n                 [00eb3c] Current XP-{cvar($SkillBladeWeaponsXP:000)}                 Next Level-{cvar($Jz_BladeTotal:000)}[-]"
skillArcheryDesc,"Gain experience by hitting enemies and receive bonus xp for the killing blow while using a Bow to improve your use of them\n              [00eb3c] Current XP-{cvar($SkillArcheryXP:000)}                Next Level-{cvar($Jz_ArcheryTotal:000)}[-]"
skillCrossbowDesc,"Gain experience by hitting enemies and receive bonus xp for the killing blow while using a Crossbow to improve your use of them\n              [00eb3c] Current XP-{cvar($SkillCrossbowXP:000)}                Next Level-{cvar($Jz_CrossbowTotal:000)}[-]"
skillSpearDesc,"Gain experience by hitting enemies and receive bonus xp for the killing blow while using a Spear to improve your use of them\n            [00eb3c] Current XP-{cvar($SkillSpearXP:000)}             Next Level-{cvar($Jz_SpearTotal:000)}[-]"
skillPistolDesc,"Gain experience by shooting enemies and receive bonus xp for the killing blow while using Handguns to improve your use of them\n                 [00eb3c] Current XP-{cvar($SkillHandgunXP:000)}                Next Level-{cvar($MeleeWpnHandgunTotal:000)}[-]"
skillShotgunDesc,"Gain experience by shooting enemies and receive bonus xp for the killing blow while using Shotguns to improve your use of them\n                 [00eb3c] Current XP-{cvar($SkillShotgunXP:000)}                Next Level-{cvar($Jz_ShotgunTotal:000)}[-]"
skillRifleDesc,"Gain experience by shooting enemies and receive bonus xp for the killing blow while using Rifles to improve your use of them\n                 [00eb3c] Current XP-{cvar($SkillRifleXP:000)}                Next Level-{cvar($Jz_RifleTotal:000)}[-]"
skillMachineGunDesc,"Gain experience by shooting enemies and receive bonus xp for the killing blow while using Machine Guns to improve your use of them\n                 [00eb3c] Current XP-{cvar($SkillMachineGunXP:000)}               Next Level-{cvar($Jz_MachineGunTotal:000)}[-]"
skillJunkBotsDesc,"Gain experience by hitting enemies and receive bonus xp for the killing blow while using Junk Bots to improve your use of them\n                 [00eb3c] Current XP-{cvar($SkillJunkBotsXP:000)}                Next Level-{cvar($Jz_JunkBotsTotal:000)}[-]"
skillExposivesDesc,"Gain experience by damaging enemies using Explosives to improve their damage and chance for dismemberment\n            [00eb3c] Current XP-{cvar($SkillExposivesXP:000)}             Next Level-{cvar($Jz_ExposivesTotal:000)}[-]"
fireFighterDesc,"As a volunteer Firefighter you learned how to fight fires and to use an axe like a pro."
fireFighterLongDesc,"Starts With: Old Axe\n+50 level, Axe Skill starting bonus\nFull Set of Firemans Almanacs Books\nRecipes- Plant Salve, Molotov Cocktail"
policeOfficerDesc,"As a Police Officer you got plenty of time on the range and became an specialist with a Handgun"
policeOfficerLongDesc,"Starts With: Old Pistol & 9mm(20)\n+50 level, Handgun Skill starting bonus\nUnique Recipes - Gun Oil\nRecipes- Pistol, Stun Baton, Turret Repair Kit"
parkRangerDesc,"As a Park Ranger you became an specialist with a spear and learned how useful many of the plants and trees could be."
parkRangerLongDesc,"Starts With: Old Rifle & 762mm(20)\n+50 level, Spear Skill starting bonus\n50% Faster Primitive Crafting\nRecipes- Herbal Antibiotics, All Spears"
bouncerDesc,"As a Bouncer you became an specialist with your hands and pretty good at making beer."
bouncerLongDesc,"Starts With: Brass Knuckles\n+50 level, Brawling Skill starting bonus\nFull Set of Bar Brawling Books\nRecipes- All Knuckles Weapons, Beer, Mead"
chefDesc,"Your time as a Chef has taught you every cooking recipe there is."
chefLongDesc,"Starts With: Old Cleaver\n50% Faster Cooking\nRecipes- All Food Recipes"
thiefDesc,"As a thief you have learned to pick any lock and sneak quickly and quietly. Crossbow Specialist."
thiefLongDesc,"Starts With: Old Knife & Lockpicks(20)\n+50 level, Crossbow Skill starting bonus\nPinpoint Treasure location\n30% Faster Looting\nFull set of Great Heist"
carpenterDesc,"Your time as a Carpenter has allowed you to master Wood Building."
carpenterLongDesc,"Starts With: Claw Hammer & Nails(50)\nThe ability to use the Claw Hammer as a weapon\n50% Faster Wood Building Crafting\nMastered Wood Building Skill\nRecipes- All Wooden Doors"
masonDesc,"Your time as a Mason has allowed you to master Cobblestone Building."
masonLongDesc,"Starts With: Mason Hammer\nThe ability to use the Mason Hammer as a weapon\n+30 Max Carry Weight\n50% Faster Cobblestone Bulding Crafting\nMastered Cobblestone Building Skill"
soldierDesc,"As a Soldier you went through hell so this all just seems like another day. Machine Gun Specialist."
soldierLongDesc,"Starts With: Old Rifle & 762mm(20)\n+50 level, Machine Gun Skill starting bonus\nRecipes - Weapon Repair Kit, Pipe Machine Gun, Pipe Bomb."
personalTrainerDesc,"As a Fitness Instructor you always had time for cardio. Sledge Specialist."
personalTrainerLongDesc,"Starts With: Baseball Bat\n+50 level, Sledge Skill starting bonus\n10% Faster Running & Walking\n5% Less Stamina used while running\nUnique Recipes - Cleansing Juice\nRecipes- Golden Rod Tea, Red Tea, Mega Crush, Vitamins"
electricianDesc,"Your time as a Electrician has allowed you to master working with electronics"
electricianLongDesc,"Starts With: Screwdriver, Tech Junkie Vol6\n50% Faster Electrical Crafting\nUnique Recipes - Electrical Parts, Solar Cell, Circuit Board Parts\nRecipes- Stove Repair Kit, Generator Bank, Pressure Plate, Battery Bank, Player Powered Lights, Timer Relay, Wire Relay, Motion Sensor, Speaker, Switch, Electric Fencepost, Spotlight, Stun Baton"
mechanicDesc,"Your time as a Mechanic has taught you how to craft every vehicle there is. Turret Specialist."
mechanicLongDesc,"Starts With: Impact Driver\n+50 level, Turret Skill starting bonus\n50% Faster Vehicle and parts Crafting\nUnique Recipes - Mechanical Parts\nRecipes- Small Engine, Large Engine, Auger, Chainsaw, All Vehicles"
doctorDesc,"Your time as a Surgeon has taught you how to craft many medical items. Blade Specialist."
doctorLongDesc,"Starts With: First Aid Kit(3), Stimulant(3), Steroids(3), Antibiotics(3), Tweezers(1)\n+50 level, Blade Skill starting bonus\n50% Faster Medical Crafting\nWounds you treat heal 50% faster\nUnique Recipes - Medical Wrap, Painkillers, Steroids, Stimulants\nRecipes- Plant Salve, Antibiotics, Cast"
farmerDesc,"Your time as a Farmer has taught you every farming recipe there is. Shotgun Specialist."
farmerLongDesc,"Starts With: +50 level, Shotgun Skill starting bonus\nHarvest 2X produce from all crops, 50% Faster Seed Crafting\nRecipes- All farm crop seeds, Fertilizer, Watering Can, Farm Plots"
chemistDesc,"Your time as a Chemist has taught you how to craft many chemistry items."
chemistLongDesc,"Starts With: Painkillers(6), Stimulant(6), Beaker(1)\n50% Faster Chemistry Crafting\nUnique Recipes - Acid Bomb, Stimulant, Gas Bundle, Gun Powder Bundle, Nitroglycerin\nRecipes- Mega Crush, Black Strap Coffee, Purification Tablets, Glue, Oil, Gas, GunPowder"
hobbyHuntingDesc,"There's no place youd rather be than sitting in a tree stand waiting for a buck. All those years of hunting have made you a specialist with a Rifle and able to smell your pray"
hobbyHuntingLongDesc,"Effects :\n+50 level, Rifle Skill starting bonus\nMastered Small and Large Game Hunting Skills"
hobbyCookingDesc,"When you first touched a Spatula you knew you had found your art form. All that time in the kitchen has taught you a fgew things"
hobbyCookingLongDesc,"Effects :\n25% Faster Cooking Crafting\nRecipes- Kabob, Meat Pies, Glazed Meat, Corn Bread, Bread, Meat Stew, Vegetable Stew, Fruit Soup"
hobbyWoodworkingDesc,"You have learned a thing or to about knocking shit together and you can do most repairs around the house."
hobbyWoodworkingLongDesc,"Recipes :\nAll Block Shapes, Planks, and Nails."
hobbyDrivingDesc,"Some people just love to go fast and since your first gocart you knew that was you. All that driving has taught you how to squeez every drop of power out of any vehicle you drive"
hobbyDrivingLongDesc,"Effects :\n20% Faster Driving Speed"
hobbyewingDesc,"You started by making clothes for your toys and now there's nothing you can't make with the right pattern and thread"
hobbyewingLongDesc,"Starts With: All Sewing Books\nEffects :\nUnique Recipes- XLarge Clothing Pocket Mod"
hobbyCrossfitDesc,"Some people play games in their free time, some watch TV but you like to sweat. All that work is finaly paying off"
hobbyCrossfitLongDesc,"Effects :\n15% Faster Stamina Regain\n15% More Max Stamina"
hobbyElectronicsDesc,"Since you were little you have always felt the need to take things apart and see how they work. Years of tinkering has taught you a few things."
hobbyElectronicsLongDesc,"Recipes :\nBattery Bank, Speaker, Electric Fencepost, Spot Light, Ceiling Light"
hobbyMedicalDesc,"Weather its a stranger or a squirrel when someone's hurt you feel the need to help. All that helping others has made you pretty good at tending wounds"
hobbyMedicalLongDesc,"Effects :\nWounds you treat heal 25% faster\n25% Faster Medical Crafting\nUnique Recipes - Medical Wrap"
hobbySportsEnthusiastDesc,"From Tee Ball to the Travel Team you have lived and breathed sports your entire life. All that work has made you a specialist with a bat and fast as hell"
hobbySportsEnthusiastLongDesc,"Effects : +20% Club Damage and Reduced Stamina Loss\nSprint Ability (+20% run speed for 5 sec with a 10 sec cool down)"
hobbyGearheadDesc,"You have been a Gearhead since you built your first Bicycle at 5"
hobbyGearheadLongDesc,"Effects :\n50% Faster Vehicle and parts Crafting\nUnique Recipes- Racing Bicycle\nRecipes- Bicycle, Small Engine, Minibike, Motorcycle\nEffects"
hobbyGardeningDesc,"You always feel better with your hands in the ground. Always keeping a garden has made your thumb at least a little green"
hobbyGardeningLongDesc,"Effects :\nHarvest an additional produce from all crops\nRecipes- Potato Seed, Corn Seed, Goldenrod Seed, Chrysanthemum Seed, Pumpkin Seed, Carrot Seed"
hobbyArcheryDesc,"When you were a child playing Cowboys and Indians you always picked the indian. A love or archery and a life time of practice have made you a specialist with bow."
hobbyArcheryLongDesc,"Effects :\n+20 Archery Skill starting bonus\n+20% Better Archery Weapon Usage \nIn The Eye Ability (Every 5th damaging hit made with a Bow without taking damage does x3 damage)"
hobbyFigureSkatingDesc,"All those early mornings at figure skating class have really paid you. You just love the feeling of flying through the air."
hobbyFigureSkatingLongDesc,"Effects :\nAble to Jump 2 Blocks High\n ½ Fall Damage"
traitMuscularDesc,"Lifting weights most of you life has changed you life."
traitMuscularLongDesc,"Effects :\n+50 Max Carry Weight\n10% More Damage Using Melee Weapons\n20% Faster Metabolism"
traitSkinnyDesc,"Your slim figure grants you these effects"
traitSkinnyLongDesc,"Effects :\n15° Less Cold Protection\n15° More Heat Protection\n10% Slower Metabolism"
traitFatDesc,"Your heavy figure grants you these effects"
traitFatLongDesc,"Effects :\n15° More Cold Protection\n15° Less Heat Protection\n10% Faster Metabolism"
traitFearlessDesc,"You are always up for any challenge no matter the risk."
traitFearlessLongDesc,"Effects :\n10% Faster Movement\nMake 20% More Noise"
traitCautiousDesc,"You avoid risk like the plague no matter the cost"
traitCautiousLongDesc,"Effects :\n10% Slower Movement\nMake 20% Less Noise"
traitLazyDesc,"Your lackadaisical attitude grants you these effects"
traitLazyLongDesc,"Effects :\n+2 HP Per Min Recovery When Idle and not in Combat\n-5% Stamina Regen While Moving"
traitEnergeticDesc,"Your enthusiastic attitude grants you these effects"
traitEnergeticLongDesc,"Effects :\n+2 HP Per Min Recovery When Moving and not in Combat\n-5% Stamina Regen While Idle"
traitEarlyBirdDesc,"Your love of the day time grants you these effects"
traitEarlyBirdLongDesc,"Day Effects :\n15% Better Weapon Handling, Faster Reload and Less Melee Stamina\nNight Effects :\n15% Less Weapon Handling, Slower Reload and More Melee Stamina"
traitNightOwlDesc"Your love of the night time grants you these effects"
traitNightOwlLongDesc,"Night Effects :\n15% Better Weapon Handling, Faster Reload and Less Melee Stamina\nDay Effects :\n15% Less Weapon Handling, Slower Reload and More Melee Stamina"
traitSlowDesc,"Your natural carefulness grants you these effects"
traitSlowLongDesc,"Effects :\n10% Slower Movement\n20% Less Noise"
traitOutdoorsmanDesc,"Your love of wide open spaces grants you these effects"
traitOutdoorsmanLongDesc,"Outdoor Effect :\n15% Better Weapon Handling, Faster Reloading And 15% Less Melee Stamina\nIndoor Effect :\n15% Less Weapon Handling, Slower Reloading And 15% More Melee Stamina"
traitHomebodyDesc,"Your love of small spaces grants you these effects"
traitHomebodyLongDesc,"Indoor Effect :\n15% Better Weapon Handling, Faster Reloading And 15% Less Melee Stamina\nOutdoor Effect :\n15% Less Weapon Handling, Slower Reloading And 15% More Melee Stamina"
skillWoodworkingDesc,"Gain XP by using the Claw Hammer to upgrade blocks to Wooden Blocks\nGather materials by using the Claw Hammer to break down Wooden Blocks\n            [00eb3c]Current XP-{cvar($WoodworkingXP:000)}                  Next Level-{cvar($WoodworkingTotal:000)}[-]"
skillWoodworkingRank1Desc,"Supplies"
skillWoodworkingRank1LongDesc,"Teaches you how to craft Planks and Nails"
skillWoodworkingRank2Desc,"Shapes"
skillWoodworkingRank2LongDesc,"Teaches you how to craft all of the Wood Block shapes"
skillMasonryDesc,"Gain XP by using the Mason Hammer to upgrade blocks to Cobblestone Blocks. Gather materials by using the Mason Hammer to break down Cobblestone and Brick Blocks\n            [00eb3c]Current XP-{cvar($SkillMasonryXP:000)}                  Next Level-{cvar($SkillMasonryTotal:000)}[-]"
skillMasonryRank1Desc,"Supplies"
skillMasonryRank1LongDesc,"Teaches you how to craft Cobblestone"
skillMasonryRank2Desc,"Shapes"
skillMasonryRank2LongDesc,"Teaches you how to craft all of the Cobblestone Block Shapes"
skillBlacksmithingDesc,"Gain XP by using the Wrench to upgrade blocks to Iron Blocks\nGather materials by using the Wrench to break down Iron Blocks\n            [00eb3c]Current XP-{cvar($SkillBlacksmithXP:000)}                  Next Level-{cvar($SkillBlacksmithTotal:000)}[-]"
skillBlacksmithingRank1Desc,"Iron Supplies"
skillBlacksmithingRank1LongDesc,"Teaches you how to craft Iron Sheet Metal and Nuts and Bolts"
skillBlacksmithingRank2Desc,"Iron Shapes"
skillBlacksmithingRank2LongDesc,"Teaches you how to craft all of the Iron Block shapes"
skillBlacksmithingRank3Desc,"Steel Supplies"
skillBlacksmithingRank3LongDesc,"Teaches you how to craft Steel Sheet Metal"
skillBlacksmithingRank4Desc,"Steel Shapes"
skillBlacksmithingRank4LongDesc,"Teaches you how to craft all Steel Block shapes"
skillConcreteWorkingDesc,"Gain XP by using the Concrete Sledge to upgrade Concrete Frames\nGather materials by using the Concrete Sledge to break down Concrete Blocks\n            [00eb3c]Current XP-{cvar($SkillConcreteWorkingXP:000)}                  Next Level-{cvar($SkillConcreteWorkingTotal:000)}[-]"
skillConcreteWorkingRank1Desc,"Supplies"
skillConcreteWorkingRank1LongDesc,"Teaches you how to craft Concrete Mix"
skillConcreteWorkingRank2Desc,"Shapes"
skillConcreteWorkingRank2LongDesc,"Teaches you how to craft all of the Concrete Block shapes"
skillBlacksmithingDesc,"Master all the other Building Skills to unlock Steel Building"
skillBlacksmithingRank1Desc,"Steel Building"
skillBlacksmithingRank1LongDesc,"Teaches you how to craft Steel Sheet Metal and all the Steel Block shapes"
smallGameHunterRank1Desc,"Small Game Butcher"
smallGameHunterRank1LongDesc,"Harvest twice as much meat and learn to harvest more advanced items from small game."
smallGameHunterRank2Desc,"Small Game Hunter"
smallGameHunterRank2LongDesc,"Harvest 3X as much meat and learn to harvest all items from small game."
smallGameHunterRank3Desc,"Small Game Tracker"
smallGameHunterRank3LongDesc,"Learn to track Small Game on your compass when crouched."
largeGameHunterRank1Desc,"Large Game Butcher"
largeGameHunterRank1LongDesc,"Harvest twice as much meat and learn to harvest more advanced items from large game."
largeGameHunterRank2Desc,"Large Game Hunter"
largeGameHunterRank2LongDesc,"Harvest 3X as much meat and learn to harvest all items from large game."
largeGameHunterRank3Desc,"Large Game Tracker"
largeGameHunterRank3LongDesc,"Learn to track Large Game on your compass when crouched."
smallPredGameHunterRank1Desc,"Small Predator Butcher"
smallPredGameHunterRank1LongDesc,"Harvest twice as much meat and learn to harvest more advanced items from small predators."
smallPredGameHunterRank2Desc,"Small Predator Hunter"
smallPredGameHunterRank2LongDesc,"Harvest 3X as much meat and learn to harvest all items from small predators."
smallPredGameHunterRank3Desc,"Small Predator Tracker"
smallPredGameHunterRank3LongDesc,"Learn to track Small Predators on your compass when crouched."
largePredGameHunterRank1Desc,"Large Predator Butcher"
largePredGameHunterRank1LongDesc,"Harvest twice as much meat and learn to harvest more advanced items from large predators."
largePredGameHunterRank2Desc,"Large Predator Hunter"
largePredGameHunterRank2LongDesc,"Harvest 3X as much meat and learn to harvest all items from large predators."
largePredGameHunterRank3Desc,"Large Predator Tracker"
largePredGameHunterRank3LongDesc,"Learn to track Large Predators on your compass when crouched."
perkLockPickingDesc,"Practicing picking locks in your spare time makes you faster at picking them and lock picks break less often."
perkInfiltratorDesc,"Studding Traps and Mines in your spare time makes you more aware of them and able to deal with them better."
perkSexualTrexDesc,"Specialize your upper body training to increase your melee stamina."
perkLockPickingRank1LongDesc,"thief. You are starting to make a name for yourself. You can pick locks 20% faster and have a 10% lower chance to break lockpicks."
perkLightArmorRank1LongDesc,"You have started on the path of the lightly armored warrior. Reduce light armor movement penalty by 15% and stamina penalty by 10%. Improve durability by 50%."
perkLightArmorRank2LongDesc,"You've survived some battles and hope to be a knight one day. Reduce light armor movement penalty by 30% and stamina penalty by 20%. Improve durability by 100%."
perkLightArmorRank3LongDesc,"All the hard training and battles have paid off, you are now a knight. Reduce light armor movement penalty by 50% and stamina penalty by 35%. Improve durability by 150%."
perkLightArmorRank4LongDesc,"You have made a name for yourself and are feared by nearly all as you are now a gladiator. Reduce light armor movement penalty by 75% and stamina penalty by 50%. Improve durability by 200%."
perkHeavyArmorRank1LongDesc,"You might move a little awkward in heavy armor but you're alive to talk about it. Reduce heavy armor movement and stamina penalty by 5%. Improve durability by 50%."
perkHeavyArmorRank2LongDesc,"You can take a hit! Reduce heavy armor movement and stamina penalty by 10%. Improve durability by 100%."
perkHeavyArmorRank3LongDesc,"Now we're talking about some serious protection. Reduce heavy armor movement and stamina penalty by 17%. Improve durability by 150%."
perkHeavyArmorRank4LongDesc,"You are now a walking tank. Reduce heavy armor movement and stamina penalty by 25%. Improve durability by 200%."
skillSmallGameHunterDesc,"Hunt, kill and butcher Chickens, Rabbits and Boars to improve at butchering them and learn how to Track them\n            [00eb3c]Current XP-{cvar($Jz_SmallGameXP:000)}                  Next Level-{cvar($Jz_SmallGameTotal:000)}[-]"
skillLargeGameHunterDesc,"Hunt, kill and butcher Stags and Does to improve at butchering them and learn how to Track them\n            [00eb3c]Current XP-{cvar($PartLargeGameXP:000)}                  Next Level-{cvar($PartLargeGameTotal:000)}[-]"
skillSmallPredGameHunterDesc,"Hunt, kill and butcher Snake, Wolfs, Coyote, Mountain Lion and Dogs to improve at butchering them and learn how to Track them\n            [00eb3c]Current XP-{cvar($Jz_SmallPredGameXP:000)}                  Next Level-{cvar($Jz_SmallPredGameTotal:000)}[-]"
skillLargePredGameHunterDesc,"Hunt, kill and butcher Bears, Dire Wolfs and Large Boars to improve at butchering them and learn how to Track them\n            [00eb3c]Current XP-{cvar($PartLargePredGameXP:000)}                  Next Level-{cvar($PartLargePredGameTotal:000)}[-]"

Quest_________________________XML,Quest_________________________XML
questFlashbangPt1,"Finding some help"
questFlashbangPt1Desc,"I won't survive long on my own and with no supplies. I should make it a priority to find other survivors. Maybe they can help me or at the very least trade with me for supplies."
questFlashbangPt2,"A Favor for a favor"
questFlashbangPt2Desc,"[E6EA1F]Trader:[-] Hello Stranger. You dont look like you're doing too well and it doesn't look like you have a damn thing worth trading either. Hmmm. You don't even have a Flashbang grenade. How the hell have you survived this long? I'll tell you what, my currier dropped my package he was carrying when he ran into some trouble yesterday. It's not too far. If you would go collect it and return it to me I could show you how to craft them. Them damn things will save your life. Here I'll show you the area on your map."
questFlashbangPt2Tip,"The Trader marked this spot on my map. I should look around here for his supplies"
questFlashbangPt3,"Flashbangs"
questFlashbangPt3Desc,"I found the traders supplies. I should get this back to them as soon as I can so I can learn how to craft a Flashbang Grenade."
questKitchenRecipePt1,"The Kitchen"
questKitchenRecipePt1Sub,"Learn to build a Kitchen"
questKitchenRecipePt1Desc,"You learned that a survivor left a kitchen remodeling guide in this building. You should go there and see if you can find it. A Kitchen would allow you to cook much better foods."
questKitchenRecipePt2,"The Kitchen"
questKitchenRecipePt2Sub,"Learn to build a Kitchen"
questKitchenRecipePt2Desc,"You learned that a survivor left a kitchen remodeling guide in this building. You should go there and see if you can find it. A Kitchen would allow you to cook much better foods."

questYourSurvivor,"Choose Your Survivor's Traits"
questYourSurvivorSub,"Place and Use Your Computer"
questYourSurvivorDesc,"To begin, place your 'Survivor Computer' on the ground and use it to choose your characters stats and abilities. You will start with Profession, Hobby and Trait Knowledge Points that can be used to make your selections. Use the points quickly as they will disappear in time."
tipQuestYourSurvivor,"If I can find a Stick I can use it in my hand to collect Plant Fibers."
tipQuestYourSurvivor_title,"Don't Hurt Yourself Getting Resources"

tipWarning,"[f21b10]!!!!Warning!!!![-]\nThis mod should only be played by survival veterans. Do not play this mod like you would play the vanilla game or you will not survive long.\n\nGood Luck and Try not to Die!"

questTutorialPt1,"Learn to Survive"
questTutorialPt1Sub,"Find a Stick"
questTutorialPt1Desc,"[E6EA1F]<Learn to Survive>[-]Punching things with my bare hands will hurt me. For now I can find a Stick and place it in my hand and use it to gather Plant Fibers."
tipQuestTutorial1,"If I can find a Stick I can use it in my hand to collect Plant Fibers."
tipQuestTutorial1_title,"Don't Hurt Yourself Getting Resources"

questTutorialPt2,"Learn to Survive"
questTutorialPt2Sub,"Gather Fibers"
questTutorialPt2Desc,"[E6EA1F]<Learn to Survive>[-]For now I can find a Stick and place it in my hand and use it to gather Plant Fibers. I can't forget that Sticks can not be used for fighting, they will do no damage."
tipQuestTutorial2,"I can use this Stick in my hand to gather Plant Fibers without getting hurt"
tipQuestTutorial2_title,"Gather Fibers"

questTutorialPt4,"Learn to Survive"
questTutorialPt4Sub,"Crafting Quality Items"
questTutorialPt4Desc,"[E6EA1F]<Learn to Survive>[-]I can craft some Lv1 Improvised tools and weapons but I will need to build an Improvised Workbench to craft more and to improve their quality I will need to improve my Crafting Skill in their respective categories."
tipQuestTutorial4,"Craft some basic tools and weapons"
tipQuestTutorial4_title,"Improvised Crafting"

questTutorialPt5,"Learn to Survive"
questTutorialPt5Sub,"Drink of Water"
questTutorialPt5Desc,"[E6EA1F]<Learn to Survive>[-]I can store 128 ounces of water in this jug and when I need a drink I can craft a Drink of Water for better hydration."
tipQuestTutorial5,"Water is by the ounce. I can craft a Clean Drink of Water for better hydration."
tipQuestTutorial5_title,"Drink of Water"

questTutorialPt6,"Learn to Survive"
questTutorialPt6Sub,"Crafting Food Servings"
questTutorialPt6Desc,"[E6EA1F]<Learn to Survive>[-]I should find some wild potatoes and carrots and craft some Servings to make a Salad."
tipQuestTutorial6,"I can craft some of the raw foods like Meat Cuts, Vegetables, Fruits and Grains(Flour/Corn Meal) into Servings and use them in many recipes."
tipQuestTutorial6_title,"Crafting Food Servings"

questTutorialPt7,"Learn to Survive"
questTutorialPt7Sub,"Building with No Tools"
questTutorialPt7Desc,"[E6EA1F]<Learn to Survive>[-]The only solid block I can build without using a tool is the Simple Log Block. For any stronger blocks I will need to find a Building Tool and supplies."

questTutorialPt8,"Learn to Survive"
questTutorialPt8Sub,"Collecting Water"
